Date,Place,Crop,Production
2015-01-31,Atok,Cabbage,922.928
2015-02-28,Atok,Cabbage,2153.498
2015-03-31,Atok,Cabbage,3384.069
2015-04-30,Atok,Cabbage,2153.498
2015-05-31,Atok,Cabbage,3691.711
2015-06-30,Atok,Cabbage,5229.924
2015-07-31,Atok,Cabbage,307.643
2015-08-31,Atok,Cabbage,922.928
2015-09-30,Atok,Cabbage,1384.392
2015-10-31,Atok,Cabbage,1538.213
2015-11-30,Atok,Cabbage,3691.711
2015-12-31,Atok,Cabbage,5383.746
2016-01-31,Atok,Cabbage,434.967
2016-02-29,Atok,Cabbage,1014.924
2016-03-31,Atok,Cabbage,1594.88
2016-04-30,Atok,Cabbage,1014.924
2016-05-31,Atok,Cabbage,1739.869
2016-06-30,Atok,Cabbage,2464.815
2016-07-31,Atok,Cabbage,144.989
2016-08-31,Atok,Cabbage,434.967
2016-09-30,Atok,Cabbage,652.451
2016-10-31,Atok,Cabbage,724.946
2016-11-30,Atok,Cabbage,1739.869
2016-12-31,Atok,Cabbage,2537.309
2017-01-31,Atok,Cabbage,693.156
2017-02-28,Atok,Cabbage,1617.364
2017-03-31,Atok,Cabbage,2541.572
2017-04-30,Atok,Cabbage,1617.364
2017-05-31,Atok,Cabbage,2772.624
2017-06-30,Atok,Cabbage,3927.884
2017-07-31,Atok,Cabbage,231.052
2017-08-31,Atok,Cabbage,693.156
2017-09-30,Atok,Cabbage,1039.734
2017-10-31,Atok,Cabbage,1155.26
2017-11-30,Atok,Cabbage,2772.624
2017-12-31,Atok,Cabbage,4043.41
2018-01-31,Atok,Cabbage,463.073
2018-02-28,Atok,Cabbage,1080.503
2018-03-31,Atok,Cabbage,1697.934
2018-04-30,Atok,Cabbage,1080.503
2018-05-31,Atok,Cabbage,1852.291
2018-06-30,Atok,Cabbage,2624.079
2018-07-31,Atok,Cabbage,154.358
2018-08-31,Atok,Cabbage,463.073
2018-09-30,Atok,Cabbage,694.609
2018-10-31,Atok,Cabbage,771.788
2018-11-30,Atok,Cabbage,1852.291
2018-12-31,Atok,Cabbage,2701.258
2019-01-31,Atok,Cabbage,895.865
2019-02-28,Atok,Cabbage,2090.351
2019-03-31,Atok,Cabbage,3284.837
2019-04-30,Atok,Cabbage,2090.351
2019-05-31,Atok,Cabbage,3583.458
2019-06-30,Atok,Cabbage,5076.566
2019-07-31,Atok,Cabbage,298.622
2019-08-31,Atok,Cabbage,895.865
2019-09-30,Atok,Cabbage,1343.797
2019-10-31,Atok,Cabbage,1493.108
2019-11-30,Atok,Cabbage,3583.458
2019-12-31,Atok,Cabbage,5225.876
2015-01-31,Bakun,Cabbage,892.188
2015-02-28,Bakun,Cabbage,2081.772
2015-03-31,Bakun,Cabbage,3271.356
2015-04-30,Bakun,Cabbage,2081.772
2015-05-31,Bakun,Cabbage,3568.752
2015-06-30,Bakun,Cabbage,5055.732
2015-07-31,Bakun,Cabbage,297.396
2015-08-31,Bakun,Cabbage,892.188
2015-09-30,Bakun,Cabbage,1338.282
2015-10-31,Bakun,Cabbage,1486.98
2015-11-30,Bakun,Cabbage,3568.752
2015-12-31,Bakun,Cabbage,5204.43
2016-01-31,Bakun,Cabbage,1053.954
2016-02-29,Bakun,Cabbage,2459.226
2016-03-31,Bakun,Cabbage,3864.498
2016-04-30,Bakun,Cabbage,4215.816
2016-05-31,Bakun,Cabbage,5972.406
2016-06-30,Bakun,Cabbage,351.318
2016-07-31,Bakun,Cabbage,1053.954
2016-08-31,Bakun,Cabbage,1053.954
2016-09-30,Bakun,Cabbage,1580.931
2016-10-31,Bakun,Cabbage,1756.59
2016-11-30,Bakun,Cabbage,4215.816
2016-12-31,Bakun,Cabbage,6148.065
2017-01-31,Bakun,Cabbage,966.502
2017-02-28,Bakun,Cabbage,2255.172
2017-03-31,Bakun,Cabbage,3543.841
2017-04-30,Bakun,Cabbage,2255.172
2017-05-31,Bakun,Cabbage,3866.009
2017-06-30,Bakun,Cabbage,5476.846
2017-07-31,Bakun,Cabbage,322.167
2017-08-31,Bakun,Cabbage,966.502
2017-09-30,Bakun,Cabbage,1449.753
2017-10-31,Bakun,Cabbage,1610.837
2017-11-30,Bakun,Cabbage,3866.009
2017-12-31,Bakun,Cabbage,5637.93
2018-01-31,Bakun,Cabbage,982.172
2018-02-28,Bakun,Cabbage,2291.734
2018-03-31,Bakun,Cabbage,3601.297
2018-04-30,Bakun,Cabbage,2291.734
2018-05-31,Bakun,Cabbage,3928.687
2018-06-30,Bakun,Cabbage,5565.64
2018-07-31,Bakun,Cabbage,327.391
2018-08-31,Bakun,Cabbage,982.172
2018-09-30,Bakun,Cabbage,1473.258
2018-10-31,Bakun,Cabbage,1636.953
2018-11-30,Bakun,Cabbage,3928.687
2018-12-31,Bakun,Cabbage,5729.336
2019-01-31,Bakun,Cabbage,994.404
2019-02-28,Bakun,Cabbage,2320.276
2019-03-31,Bakun,Cabbage,3646.148
2019-04-30,Bakun,Cabbage,2320.276
2019-05-31,Bakun,Cabbage,3977.616
2019-06-30,Bakun,Cabbage,5634.956
2019-07-31,Bakun,Cabbage,331.468
2019-08-31,Bakun,Cabbage,994.404
2019-09-30,Bakun,Cabbage,1491.606
2019-10-31,Bakun,Cabbage,1657.34
2019-11-30,Bakun,Cabbage,3977.616
2019-12-31,Bakun,Cabbage,5800.69
2015-01-31,Bokod,Cabbage,26.628
2015-02-28,Bokod,Cabbage,62.132
2015-03-31,Bokod,Cabbage,97.636
2015-04-30,Bokod,Cabbage,62.132
2015-05-31,Bokod,Cabbage,106.512
2015-06-30,Bokod,Cabbage,150.892
2015-07-31,Bokod,Cabbage,8.876
2015-08-31,Bokod,Cabbage,26.628
2015-09-30,Bokod,Cabbage,39.942
2015-10-31,Bokod,Cabbage,44.38
2015-11-30,Bokod,Cabbage,106.512
2015-12-31,Bokod,Cabbage,155.33
2016-01-31,Bokod,Cabbage,36.6
2016-02-29,Bokod,Cabbage,85.4
2016-03-31,Bokod,Cabbage,134.2
2016-04-30,Bokod,Cabbage,85.4
2016-05-31,Bokod,Cabbage,146.4
2016-06-30,Bokod,Cabbage,207.4
2016-07-31,Bokod,Cabbage,12.2
2016-08-31,Bokod,Cabbage,36.6
2016-09-30,Bokod,Cabbage,54.9
2016-10-31,Bokod,Cabbage,61
2016-11-30,Bokod,Cabbage,146.4
2016-12-31,Bokod,Cabbage,213.5
2017-01-31,Bokod,Cabbage,68.19
2017-02-28,Bokod,Cabbage,159.11
2017-03-31,Bokod,Cabbage,250.03
2017-04-30,Bokod,Cabbage,159.11
2017-05-31,Bokod,Cabbage,272.76
2017-06-30,Bokod,Cabbage,386.41
2017-07-31,Bokod,Cabbage,22.73
2017-08-31,Bokod,Cabbage,68.19
2017-09-30,Bokod,Cabbage,102.285
2017-10-31,Bokod,Cabbage,113.65
2017-11-30,Bokod,Cabbage,272.76
2017-12-31,Bokod,Cabbage,397.775
2018-01-31,Bokod,Cabbage,62.776
2018-02-28,Bokod,Cabbage,146.476
2018-03-31,Bokod,Cabbage,230.177
2018-04-30,Bokod,Cabbage,146.476
2018-05-31,Bokod,Cabbage,251.102
2018-06-30,Bokod,Cabbage,355.728
2018-07-31,Bokod,Cabbage,20.925
2018-08-31,Bokod,Cabbage,62.776
2018-09-30,Bokod,Cabbage,94.163
2018-10-31,Bokod,Cabbage,104.626
2018-11-30,Bokod,Cabbage,251.102
2018-12-31,Bokod,Cabbage,366.191
2019-01-31,Bokod,Cabbage,81.258
2019-02-28,Bokod,Cabbage,189.602
2019-03-31,Bokod,Cabbage,297.946
2019-04-30,Bokod,Cabbage,189.602
2019-05-31,Bokod,Cabbage,325.032
2019-06-30,Bokod,Cabbage,460.462
2019-07-31,Bokod,Cabbage,27.086
2019-08-31,Bokod,Cabbage,81.258
2019-09-30,Bokod,Cabbage,121.887
2019-10-31,Bokod,Cabbage,135.43
2019-11-30,Bokod,Cabbage,325.032
